stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1513,N1513,Hayne at Read,READ BLVD & UNNAMED ST,30.049131,-89.984061,,,,,0
1514,N1514,Hayne at Lacombe,HAYNE BLVD & READ BLVD,30.050921,-89.980437,,,,,0
1515,N1515,Hayne at Lafourche,HAYNE BLVD & LAFOURCHE ST,30.051765,-89.978738,,,,,0
1516,N1516,Hayne at Lucerne,LUCERNE ST & WALES ST,30.052781,-89.977051,,,,,0
1517,N1517,Hayne at Marquis,MARQUIS ST & WALES ST,30.053562,-89.975592,,,,,0
1518,N1518,Hayne at Michigan (Farside),BERG RD & WALES ST,30.054868,-89.973377,,,,,0
1519,N1519,Hayne at Unity,UNITY DR & HAYNE BLVD,30.05524,-89.972631,,,,,0
1520,N1520,Hayne at Haney,HAYNE BLVD & HANEY DR,30.05611,-89.971275,,,,,0
1522,N1522,Hayne at Gaudet School,HAYNE BLVD & BULLARD AVE,30.057534,-89.968905,,,,,0
1523,N1523,Hayne at Jahncke Rd,HAYNE BLVD & ONEIDA ST,30.058952,-89.966607,,,,,0
1524,N1524,Hayne at Wave,HAYNE BLVD & WAVE DR,30.060505,-89.964141,,,,,0
1525,N1525,Hayne at Sandy Cove,HAYNE BLVD & SANDY COVE DR,30.061865,-89.962065,,,,,0
1526,N1526,Hayne at Gannon,HAYNE BLVD & SANDPIPER DR,30.063503,-89.959685,,,,,0
1527,N1527,Hayne at Pole #238,HAYNE BLVD & REELFOOT ST,30.064005,-89.958817,,,,,0
1528,N1528,Hayne at Briarwood,HAYNE BLVD & SCOTTWOOD DR,30.066028,-89.956112,,,,,0
1529,N1529,Hayne at Vincent,HAYNE BLVD & VINCENT ST,30.067955,-89.953509,,,,,0
1530,N1530,Vincent at Wales,WALES ST & VINCENT ST,30.066489,-89.951896,,,,,0
1531,N1531,Vincent at Curran,VINCENT ST & CURRAN RD,30.065398,-89.950834,,,,,0
1532,N1532,Curran at Pine Ridge,PINERIDGE ST & CURRAN RD,30.066541,-89.949129,,,,,0
1533,N1533,Curran at Stonewood,,30.06752,-89.947857,,,,,0
1534,N1534,Curran at Shorewood,CURRAN RD & KINGSPORT BLVD,30.068709,-89.946553,,,,,0
1539,N1539,Paris Rd. at Curran,CURRAN RD & PARIS RD,30.072099,-89.9409,,,,,0
1540,N1540,Bullard at Morrison,BULLARD AVE & MORRISON RD,30.051151,-89.964917,,,,,0
1541,N1541,Morrison at Marywood Court,MORRISON RD & MARYWOOD CT,30.050069,-89.967611,,,,,0
1542,N1542,Morrison at Mercier,MERCIER ST & FINCHLEY RD,30.048446,-89.970305,,,,,0
1543,N1543,Morrison at Lucerne,LUCERNE ST & MORRISON RD,30.047294,-89.97231,,,,,0
1544,N1544,Morrison at Forest Glen,FOREST GLEN RD & HERITAGE DR,30.04506,-89.9767,,,,,0
1545,N1545,Morrison at Read,MORRISON RD & READ BLVD,30.042767,-89.980166,,,,,0
1546,N1546,Morrison at Weaver,WEAVER AVE & MORRISON RD,30.042017,-89.983068,,,,,0
1547,N1547,Morrison at Hickman,HICKMAN AVE & ADELE ST,30.039836,-89.987572,,,,,0
1548,N1548,Morrison at Burk,BURKE RD & ADELE ST,30.038773,-89.989819,,,,,0
1549,N1549,Morrison at Benson,MORRISON RD & BENSON CANAL,30.037266,-89.993127,,,,,0
1550,N1550,Morrison at Crowder,MORRISON RD & CROWDER BLVD,30.035889,-89.996592,,,,,0
1551,N1551,Morrison at Malvern Drive,MORRISON RD & MALVERN DR,30.034649,-89.999401,,,,,0
1552,N1552,Morrison at Primrose,PRIMROSE DR & CYNTHIA DR,30.033786,-90.00176,,,,,0
1553,N1553,Morrison at Dogwood,DOGWOOD DR & MORRISON RD,30.033185,-90.003345,,,,,0
1554,N1554,Morrison at Mayo,MAYO BLVD & MORRISON RD,30.032656,-90.004816,,,,,0
